t1,t2
"Root_weight, Shoot_weight",89.6
"Root_weight, Root_length",76.8
"Root_weight, Shoot_length",81.5
"Root_weight, Root_Na+",59.3
"Root_weight, Root_K+",54.4
"Root_weight, Shoot_Na+",50.4
"Root_weight, Shoot_K+",56.7
"Root_weight, Chlorophyll_A",67.7
"Root_weight, Chlorophyll_B",65.1
"Root_weight, Stress_Root_weight",78.9
"Root_weight, Stress_Shoot_weight",77.6
"Root_weight, Stress_Root_length",69.3
"Root_weight, Stress_Shoot_length",73.4
"Root_weight, Stress_Root_Na+",53
"Root_weight, Stress_Root_K+",50.4
"Root_weight, Stress_Shoot_Na+",54.4
"Root_weight, Stress_Shoot_K+",51.4
"Root_weight, SES",68.8
"Root_weight, Stress_Chlorophyll_A",71.3
"Root_weight, Stress_Chlorophyll_B",70
"Root_weight, Width_WO_husk",52.9
"Root_weight, Length_WO_husk",64.6
"Root_weight, Height_WO_husk",60.9
"Root_weight, Seed_Weight",66.6
"Root_weight, Root_thickness",89.2
"Root_weight, Shoot_thickness",84.3
"Root_weight, Stress_Root_thickness",70.8
"Root_weight, Stress_Shoot_thickness",75
"Root_weight, Lost_Root_weight",81.6
"Root_weight, Lost_Shoot_weight",78.9
"Root_weight, Lost_Root_length",55.4
"Root_weight, Lost_Shoot_length",65.8
"Root_weight, Lost_Root_thickness",77.5
"Root_weight, Lost_Shoot_thickness",66.5
"Root_weight, Lost_Chlorophyll_A",61.1
"Root_weight, Lost_Chlorophyll_B",58
"Root_weight, Seed_volume",64.7
"Root_weight, Seed_density",52.5
"Shoot_weight, Root_length",69.3
"Shoot_weight, Shoot_length",87
"Shoot_weight, Root_Na+",57.4
"Shoot_weight, Root_K+",56
"Shoot_weight, Shoot_Na+",52.6
"Shoot_weight, Shoot_K+",55
"Shoot_weight, Chlorophyll_A",71.4
"Shoot_weight, Chlorophyll_B",68.9
"Shoot_weight, Stress_Root_weight",75.9
"Shoot_weight, Stress_Shoot_weight",81
"Shoot_weight, Stress_Root_length",66.1
"Shoot_weight, Stress_Shoot_length",76.7
"Shoot_weight, Stress_Root_Na+",54.3
"Shoot_weight, Stress_Root_K+",52.1
"Shoot_weight, Stress_Shoot_Na+",54.7
"Shoot_weight, Stress_Shoot_K+",50.7
"Shoot_weight, SES",69.6
"Shoot_weight, Stress_Chlorophyll_A",72.8
"Shoot_weight, Stress_Chlorophyll_B",71.9
"Shoot_weight, Width_WO_husk",55.9
"Shoot_weight, Length_WO_husk",65.4
"Shoot_weight, Height_WO_husk",63.9
"Shoot_weight, Seed_Weight",70
"Shoot_weight, Root_thickness",83.1
"Shoot_weight, Shoot_thickness",94.9
"Shoot_weight, Stress_Root_thickness",69.7
"Shoot_weight, Stress_Shoot_thickness",77.1
"Shoot_weight, Lost_Root_weight",72
"Shoot_weight, Lost_Shoot_weight",89.7
"Shoot_weight, Lost_Root_length",51.7
"Shoot_weight, Lost_Shoot_length",69.4
"Shoot_weight, Lost_Root_thickness",71.6
