taxa,PC1,PC2,PC3
IRIS_313-10340,-813.830088349576,-92.3865279258227,-106.688754174454
IRIS_313-10341,-779.784598673714,-119.485624601484,-105.774256178007
IRIS_313-10537,-9.73109593092635,1478.35463744994,61.3840670333872
IRIS_313-10539,-802.113906104738,-120.835227167102,51.3220163828712
IRIS_313-10587,952.895249404703,-200.608291340828,-495.210126785784
IRIS_313-10592,995.686565670201,-203.754313937749,-370.838252254941
IRIS_313-10593,926.475396952046,-180.781426471864,74.6052417319856
IRIS_313-10595,966.586719125963,-209.68835413836,-366.580563318922
IRIS_313-10598,970.526996709315,-198.122360268808,-357.522623116457
IRIS_313-10600,896.651263931803,-195.697613928994,-609.058605299605
IRIS_313-10602,846.315868119738,-206.781658538698,-242.94262283596
IRIS_313-10603,960.998355882659,-211.422802768943,70.156523932361
IRIS_313-10604,915.33452587915,-203.446901269712,-569.309674896859
IRIS_313-10605,874.200077316276,-124.029123002662,458.855479841977
IRIS_313-10606,925.841705815119,-185.928366997763,-614.090751503798
IRIS_313-10963,862.647873958333,-210.468801110664,-412.205249039344
IRIS_313-10964,914.604869463053,-161.346129417761,302.635024550161
IRIS_313-10965,851.085391538266,-165.232245320532,-630.431929434906
IRIS_313-10971,-795.163215960582,-117.168140898177,35.75300823281
IRIS_313-10972,-786.440311711078,-108.952702188353,-30.2145003854603
IRIS_313-10973,-741.230212677844,-152.913555857125,77.1368139761496
IRIS_313-10974,-809.064700153479,-131.299883130796,19.2841443669627
IRIS_313-10975,-891.745360223314,-133.334242716951,-20.5428516078483
IRIS_313-10976,903.663865885725,-205.349942051808,225.645240832291
IRIS_313-10977,-740.718265801535,-143.099789973462,74.4519813459205
IRIS_313-10978,-709.667366690143,-141.236396474511,27.8530165017768
IRIS_313-10979,559.361237655076,-101.342446245903,803.628132193572
IRIS_313-10980,-122.32598586171,-174.600395742302,358.953820756229
IRIS_313-10981,628.071300994921,-87.2950058193477,814.846788046115
IRIS_313-10982,-785.840311694039,-179.323508528668,32.2431160863199
IRIS_313-10983,-920.181486455639,-99.9645258576108,-21.3761865673172
IRIS_313-10985,-837.913353047913,-142.020739040405,-14.2266939831707
IRIS_313-10986,-835.776947387568,-221.855357966398,34.66052352541
IRIS_313-10987,671.569729394125,-114.068322205644,482.136035563516
IRIS_313-11013,943.314278618193,-228.612105258941,-401.381192132942
IRIS_313-11014,954.901778449011,-211.732827633765,-21.3654734636187
IRIS_313-11015,942.981867071149,-208.912591823924,21.4667357585091
IRIS_313-11016,941.161456000416,-219.365248136875,-412.749699023765
IRIS_313-11017,936.476943468335,-254.688050288864,-439.885380453406
IRIS_313-11018,826.247291506416,-290.945479506688,-245.502012662067
IRIS_313-11019,880.077827403616,-196.180828030945,308.361788767271
IRIS_313-11047,858.664087948453,-106.914354944852,-379.137774244059
IRIS_313-11048,942.672554292166,-245.359968700278,-524.229836504642
IRIS_313-11049,939.9839368496,-199.547672484599,-282.800735324796
IRIS_313-11050,940.831074770199,-195.672605270762,141.077295634498
IRIS_313-11052,764.839584600542,-52.8050000055863,-1.6723502068551
IRIS_313-11053,952.328705509954,-195.338855536898,-558.033599092005
IRIS_313-11054,876.634715802533,-126.65537522152,461.866092202843
IRIS_313-11056,922.737714206965,-216.127304549152,206.196690115062
IRIS_313-11057,877.219176149922,-127.197909818592,461.735272212014
IRIS_313-11058,1025.61141957706,-251.669987610035,-199.230239011612
IRIS_313-11059,992.893878367034,-246.238374125947,-25.4524510823869
IRIS_313-11060,942.183623997106,-199.318280058207,-620.866743168649
IRIS_313-11061,864.793929420226,-135.158567811305,-500.593391409734
IRIS_313-11062,224.610292178464,1667.42741004576,-115.858975021031
IRIS_313-11063,859.767615110209,8.73557981614116,542.215625709541
IRIS_313-11064,881.910326144815,15.6971571266245,540.229394015141
IRIS_313-11065,867.243521781994,27.9189545779862,537.362920735038
IRIS_313-11066,256.806244696358,1598.40681626584,-74.8945522371009
IRIS_313-11067,895.362597809554,6.89365835217035,525.881029552919
IRIS_313-11068,207.749466448661,1737.1888281038,-113.632247169828
IRIS_313-11069,238.439132252171,1661.55221605158,-120.380338317486
IRIS_313-11070,253.715096804633,1626.01630241541,-135.920233951094
IRIS_313-11111,951.999697304284,-229.899851897464,-51.4235677752243
IRIS_313-11112,564.334169976036,-101.007831580882,814.492073902817
IRIS_313-11113,-769.335856968672,-171.788213614231,41.2941193573923
IRIS_313-11114,-950.978047195885,-142.18487547287,-49.6574642571176
IRIS_313-11115,-734.259295625626,-122.253359787649,83.318654174751
IRIS_313-11116,592.519970377619,-158.483462091499,655.495450698012
IRIS_313-11123,570.383924772174,-55.420696277047,748.416362125102
IRIS_313-11124,345.657729158333,121.507738729783,580.292908043986
IRIS_313-11154,947.95599676797,-205.559956476278,-1.70016120167949
IRIS_313-11163,874.935167402246,-124.060899012708,484.114929758151
IRIS_313-11203,-939.118794843834,-125.266505855577,-88.3924008054405
IRIS_313-11204,-482.503292910401,-122.215161171988,159.640958494572
IRIS_313-11205,-922.048892571133,-135.059966070497,28.634170495362
IRIS_313-11206,-784.409318763108,-58.556872388911,-57.6883443481552
IRIS_313-11207,-803.278940221694,-173.966792653106,11.614353331562
IRIS_313-11208,-850.061262578867,-74.6686028628559,-14.1813614858278
IRIS_313-11210,797.424014348452,-119.250677146774,-540.894898767836
IRIS_313-11211,-756.820972664742,-171.825469337284,-18.5970825363046
IRIS_313-11212,-754.617162915788,-174.504884018534,-28.3988594900925
IRIS_313-11213,953.284161549417,-226.418605100944,-498.606676883991
IRIS_313-11214,642.065444486531,-101.294823565698,490.579768550856
IRIS_313-11216,613.875143828759,-83.4661808354134,786.409695425146
IRIS_313-11217,-7.57562034548704,1521.87112677211,-2.34049505624708
IRIS_313-11218,114.973076139141,1673.84015103002,-98.6295146674061
IRIS_313-11219,-806.90683396541,-58.6243755725527,66.9538791421532
IRIS_313-11220,-743.967773694054,-234.556368256416,-14.6881092817693
IRIS_313-11221,-834.52690872609,-186.266022467397,-38.3699982947266
IRIS_313-11222,-863.656444228826,-95.6941165408164,30.6625224070074
IRIS_313-11223,-268.36636786708,1087.78775348278,-78.3617811140279
IRIS_313-11224,-815.844582494207,-102.134757104027,-79.6120580830604
IRIS_313-11225,-874.08408387239,-62.4370902110818,-28.7938688706791
IRIS_313-11226,-839.143805156043,-197.18680682306,-46.3779601062737
IRIS_313-11227,-805.908703675436,-99.3146289316403,-29.4574253082387
IRIS_313-11228,-828.056517827333,-172.736111503576,-12.2165585509745
IRIS_313-11229,-867.10313947089,-175.061418127226,-35.1199368291702
IRIS_313-11230,-812.593809156679,-102.292489786336,-28.2560922063944
IRIS_313-11231,-836.413412414085,-135.677899958472,-30.9517260012598
IRIS_313-11241,-687.991651284588,-124.182839533882,26.9486760110495
IRIS_313-11321,-829.944926505123,-156.341462574606,-109.073179942762
IRIS_313-11322,936.914511266179,-189.291282033781,-552.667558993478
IRIS_313-11323,827.583028734475,-179.473220835136,103.239450576237
IRIS_313-11324,919.751617774476,-227.146842456563,-476.162240520289
IRIS_313-11326,-800.148534760477,-95.0056832215874,-107.867344507612
IRIS_313-11399,-821.570563388031,-173.570719397604,-23.8967407191755
IRIS_313-11400,-836.496256156092,-16.3771198462991,-17.0587581506462
IRIS_313-11401,50.040183122724,1679.47810956324,-80.3863590786793
IRIS_313-11402,-841.596169679715,-133.413630921637,-92.0530444187404
IRIS_313-11404,-912.073040530002,-116.738548467428,-119.191247542578
IRIS_313-11481,971.615898719357,-230.113809055566,-376.244577024237
IRIS_313-11482,576.370999025454,-146.482348481251,591.625442034969
IRIS_313-11483,937.815979746184,-219.489539748331,-548.243474817317
IRIS_313-11484,446.086455393281,-107.603830819608,662.092406440974
IRIS_313-11486,-107.993249848374,-67.1022806439097,312.146414641914
IRIS_313-11487,-616.828228991735,-171.040166987237,139.608934026988
IRIS_313-11557,843.369354872605,-195.989489933284,187.389376352024
IRIS_313-11558,-842.931834160278,-113.292989214123,-87.7219468193838
IRIS_313-11722,-847.008015432855,-85.3727850428899,-110.704695809449
IRIS_313-11945,-793.561062981786,-123.238220296467,1.88871594184277
IRIS_313-11964,-825.290173870836,-202.298327028537,-15.397534352385
IRIS_313-12002,855.145397206556,66.401075346262,515.662607975134
IRIS_313-12055,545.272189398785,-54.7483175743471,-334.896003532596
IRIS_313-12094,71.714440486061,1594.99344696597,-66.1009925486873
IRIS_313-12141,861.302081801756,-170.836558069233,341.570600330817
IRIS_313-8244,-616.084785963559,-167.855989654957,-58.0279106681142
IRIS_313-8252,901.567070775611,-46.4659943144896,555.133709095658
IRIS_313-8283,597.329411010466,-69.7336867691429,777.575771895226
IRIS_313-8321,664.142346488604,-87.2249993222783,793.633785294754
IRIS_313-8349,-838.545754076078,-70.662766838105,-25.9105489683373
IRIS_313-8410,888.719744974486,-184.588546809498,-451.395081617153
IRIS_313-8437,-971.886601173588,-129.52020260303,-69.2766371247843
IRIS_313-8509,-772.947580682433,-179.65913453044,-11.725083968183
IRIS_313-8632,-806.053943760702,-100.848014904106,-93.8297947611852
IRIS_313-8641,722.899006847915,-84.2370771546951,-441.719455461275
IRIS_313-8683,-913.52688731773,-153.915976607626,-6.10972103409173
IRIS_313-8703,-895.104026124384,-122.113797737381,-60.7257155342492
IRIS_313-8717,-806.339979376514,-196.592192700069,10.6086247943043
IRIS_313-8721,849.299137519099,-61.5148173643801,459.179629508011
IRIS_313-8733,-745.698962642989,-180.962909438685,81.2017491729645
IRIS_313-8737,-767.779414988615,-173.124726921558,-3.97220130220423
IRIS_313-8789,898.354237684269,-174.560705985096,-215.832736695218
IRIS_313-8822,419.081494186658,146.697700985707,-439.701481327742
IRIS_313-8850,-585.696335252676,-190.008091956971,71.2487339438454
IRIS_313-8854,-973.487280243063,-112.474199965954,-36.4437921451401
IRIS_313-8864,949.646340116475,-244.855332620149,-455.815191414878
IRIS_313-8930,-780.981634716142,-54.873469671027,-143.907828208351
IRIS_313-8932,-798.280677695181,-7.9284868436809,-100.828679288054
IRIS_313-8963,927.997882136015,-163.524924991874,209.149340942604
IRIS_313-9049,-786.216566086486,-36.6073137291344,-0.290627130625619
IRIS_313-9066,-587.948863204473,329.215634538921,-197.019785409464
IRIS_313-9067,-753.404461168161,-121.916435058453,73.3247740062994
IRIS_313-9072,-762.270195433259,-197.066885032786,-29.2047524962011
IRIS_313-9108,-610.635018015104,125.855436532924,-71.2495802457588
IRIS_313-9139,-788.2840317487,-153.004438064311,-37.6367678107803
IRIS_313-9148,-597.634893434752,-150.110789903663,98.6455928506531
IRIS_313-9156,-810.720274767927,-146.945283668102,-76.0614063914305
IRIS_313-9170,-14.5381769278383,1690.93752063643,-27.9650673913238
IRIS_313-9174,-926.608045215683,-147.454693087263,-8.70608124934792
