uid,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Serial no.,Iserial,accession_name
1_1,288.0,597.0,183.0,895.0,Control,90.0,1101.0,7.5,57.0,0.023761616,0.127090301,0.004514528,0.009606094,,0.017036084,0.01623474,1,1.0,IRGC 5809
1_2,280.0,609.0,214.0,898.0,Control,118.0,2063.0,8.25,68.0,0.015772561,0.247863248,0.005012271,0.009373839,,0.020180726,0.01951522,1,2.0,IRGC 5809
1_3,283.0,600.0,218.0,903.0,Control,79.0,741.0,7.0,54.0,0.066005642,0.062058714,0.008674711,0.005890004,,0.012232103999999999,0.01174832,1,3.0,IRGC 5809
1_4,275.0,587.0,195.0,900.0,Control,,,,,,,,,,,,1,,IRGC 5809
1_5,288.0,616.0,219.0,905.0,Control,,,,,,,,,,,,1,,IRGC 5809
2_1,215.0,620.0,162.0,585.0,Control,80.0,570.0,6.5,55.0,0.093760372,1.41025641,0.004136644,0.007748049,,0.019156572,0.0195031,2,1.0,IRGC 6046
2_2,210.0,602.0,163.0,590.0,Control,98.0,797.0,9.5,59.5,,,,,,0.020224836,0.01992124,2,2.0,IRGC 6046
2_3,205.0,585.0,182.0,586.0,Control,91.0,780.0,7.5,60.0,0.014030866000000001,0.16889632100000002,0.0029610490000000003,0.062058714,,0.015849926,0.01506112,2,3.0,IRGC 6046
2_4,214.0,592.0,162.0,584.0,Control,,,,,,,,,,,,2,,IRGC 6046
2_5,210.0,571.0,165.0,590.0,Control,,,,,,,,,,,,2,,IRGC 6046
3_1,255.0,550.0,188.0,710.0,Control,58.0,622.0,7.5,53.0,,,,,,0.022112744,0.02198972,3,1.0,IRGC 6534
3_2,285.0,540.0,200.0,715.0,Control,57.0,652.0,6.0,63.5,0.028341473,0.094574508,0.004429449,0.007515793000000001,,0.023405567999999998,0.02538938,3,2.0,IRGC 6534
