,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed_Weight,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,Seed_volume,Seed_density
Root_weight,6.06E-49,1.54E-38,1.42E-07,1.28E-19,0.87209959,0.137027288,0.005225906,0.000454218,1.23E-07,1.13E-02,3.91E-36,6.41E-25,3.11E-07,5.19E-15,0.000975829,0.000960367,2.80529E-11,0.774596833,3.98E-22,2.72E-24,1.06E-21,0.676230832,4.57E-06,0.026807621,9.82E-07,1.37E-27,1.48E-31,3.09E-27,2.56E-25,2.04E-17,4.46E-12,0.327158469,3.30E-05,1.83E-11,3.18E-07,1.45E-18,3.69039E-17,1.90434E-05,1.80699E-11
Shoot_weight,6.51E-38,1.13E-41,2.06E-01,2.58E-45,3.43966E-09,0.001419217,1.27647E-05,1.31508E-12,4.96E-30,1.07E-14,2.06E-28,1.29E-40,4.07E-04,3.68E-27,2.39753E-16,7.23646E-15,6.48507E-22,0.003451692,1.31E-22,3.32E-37,4.01E-34,0.621236394,1.61E-06,0.009894248,1.42E-07,1.08E-33,1.77E-66,2.35E-29,7.65E-31,3.53E-28,2.77E-41,1.18871E-05,8.23E-26,3.83E-20,3.25E-25,1.04E-25,1.61989E-18,3.61E-06,1.13642E-15
Root_length,4.71E-14,1.71E-07,1.98E-45,6.31E-01,4.55696E-14,0.001099719,1.45164E-08,0.000549797,0.000495603,0.037327713,7.79E-07,0.047433498,5.83E-14,0.395794555,4.5762E-16,1.68229E-16,0.002417311,1.47838E-07,0.002005191,0.831969318,0.881579611,2.24E-10,0.021439238,1.27E-11,3.06E-05,4.12933E-06,6.03E-01,0.576334918,0.010010047,4.11233E-06,3.12E-05,8.57E-16,9.31816E-09,3.19761E-13,1.124E-07,0.028092195,0.099355774,2.25E-07,9.21239E-08
Shoot_length,3.07E-20,6.64E-31,3.05E-06,9.66E-45,2.28739E-15,0.009830997,0.066403079,0.000159868,6.83E-27,1.12E-14,8.42E-20,1.24E-32,1.81617E-07,3.72E-49,4.19168E-11,1.24065E-11,2.05E-28,0.048321357,6.63E-18,2.16E-28,5.27E-25,0.823984139,0.003833422,0.005773372,0.000844691,2.83E-20,2.01E-15,4.08E-15,1.36E-15,3.59E-16,3.61E-24,4.80136E-12,2.25E-29,2.48195E-16,1.42311E-11,4.07801E-22,2.23364E-14,0.00678663,1.25754E-09
Root_Na+,0.016275843,0.057959308,0.221339348,0.699572762,2.89E-05,8.18341E-05,5.0314E-09,6.46791E-11,4.51882E-42,1.81448E-29,0.46103963,0.000142003,0.90636403,3.03742E-09,3.05041E-32,1.88712E-32,4.08313E-14,2.8166E-12,0.59505668,1.28809E-06,2.24501E-06,1.03E-06,0.06959539,0.021798272,0.056262243,2.16317E-10,1.50301E-05,0.041670028,0.125282918,2.37958E-14,2.56847E-30,3.13807E-29,6.0819E-64,7.28605E-22,8.25394E-26,6.86197E-06,0.007987482,0.005540454,3.60434E-08
Root_K+,0.257868228,0.127070175,0.980114198,0.084092124,0.008563304,4.94E-71,3.27541E-05,1.19241E-05,0.001885011,0.289946869,0.257994468,0.02245486,0.299695623,0.127753106,5.00768E-06,6.06356E-05,0.009085966,0.234983654,0.050412484,0.024045275,0.048933118,0.015283324,0.01654413,0.021116413,0.511131151,4.80011E-05,0.000905558,0.020476635,0.026390289,3.59314E-06,6.54385E-06,0.00235618,4.0433E-05,1.11961E-05,5.21254E-06,0.004291695,0.00428888,0.417619831,6.187E-05
Shoot_Na+,0.909549304,0.506188723,0.857607617,0.984745642,0.622655018,0.199164844,8.51E-13,5.25692E-15,3.96522E-10,0.004380633,0.475514725,0.102303007,0.006270102,0.356728062,2.3193E-23,5.0927E-19,0.004014104,7.02929E-09,0.629240521,4.40771E-05,4.23025E-06,6.06E-07,1.86E-09,9.65E-08,0.883393758,4.15947E-16,2.09776E-11,0.000686956,0.047522799,7.33853E-23,2.04563E-17,4.69662E-06,1.28713E-10,5.29565E-21,9.78598E-25,6.95666E-06,1.69025E-07,0.2152321,2.00148E-25
Shoot_K+,0.087865608,0.1976043,0.501548823,0.042491945,0.119156737,0.995204816,0.336228173,8.42E-10,3.45943E-24,7.65895E-11,0.006242178,0.000756195,0.124402819,0.025701194,1.08393E-31,4.63083E-26,2.31955E-06,1.52541E-06,0.012217708,1.10022E-08,1.59619E-09,0.001489949,0.000851614,0.000220994,0.389671862,2.21978E-14,7.25579E-23,5.69327E-07,0.000491249,5.89901E-25,1.97434E-33,4.79401E-05,1.336E-22,8.05277E-17,5.12006E-39,3.07439E-08,1.58596E-07,0.274210821,1.61875E-12
Chlorophyll_A,1.93E-06,5.54E-09,0.002992422,5.56E-09,0.790931882,0.561226215,0.588363882,0.396431418,9.73E-10,2.26E-59,5.21263E-07,1.49664E-12,0.20751329,2.77E-14,3.04704E-45,3.28127E-45,2.89796E-19,3.56083E-16,1.88239E-05,4.75E-21,2.60E-22,0.007798806,0.001556216,0.370052856,0.490470906,1.19E-22,8.19E-25,9.69981E-10,1.20017E-07,7.03217E-28,2.26E-60,1.2269E-16,5.95E-78,8.87797E-28,1.22581E-45,5.23E-13,1.52E-07,0.916034084,5.40238E-12
Chlorophyll_B,6.09E-05,3.28E-07,0.031846498,1.06E-05,0.670207199,0.974396695,0.18772822,0.466861325,2.25E-64,5.32E-16,0.019442612,8.57709E-06,0.396123052,6.08934E-07,1.17979E-16,1.14809E-17,8.02662E-08,1.89688E-14,0.116948739,3.3427E-08,2.67128E-09,0.388366423,0.571313968,0.283871089,0.64075925,3.20345E-06,7.48E-11,0.006898619,0.003706891,5.85949E-07,1.10E-22,4.69561E-08,1.3772E-35,2.01438E-08,8.02471E-19,2.24E-02,9.48E-01,0.789198064,0.090489194
