Locus ID,QTL,Expression cluster
LOC_Os01g66040,qCDP1,1
LOC_Os01g66310,qCDP1,2
LOC_Os01g66230,qCDP1,3
LOC_Os01g66250,qCDP1,4
LOC_Os01g66020,qCDP1,2
LOC_Os01g66100,qCDP1,2
LOC_Os01g66060,qCDP1,3
LOC_Os01g66140,qCDP1,2
LOC_Os01g66260,qCDP1,5
LOC_Os01g66270,qCDP1,3
LOC_Os01g66130,qCDP1,4
LOC_Os12g06090,qCDP15,1
LOC_Os12g05990,qCDP15,1
LOC_Os12g06030,qCDP15,2
LOC_Os12g06060,qCDP15,3
LOC_Os12g06070,qCDP15,1
LOC_Os12g06150,qCDP15,5
LOC_Os12g06190,qCDP15,1
LOC_Os12g06160,qCDP15,1
LOC_Os12g06210,qCDP15,6
LOC_Os12g06080,qCDP15,2
LOC_Os12g06200,qCDP15,1
LOC_Os12g41650,qCDP17,1
LOC_Os12g41630,qCDP17,2
LOC_Os12g41710,qCDP17,2
LOC_Os12g41460,qCDP17,2
LOC_Os12g41450,qCDP17,1
LOC_Os12g41550,qCDP17,1
LOC_Os12g41510,qCDP17,1
LOC_Os12g41560,qCDP17,1
LOC_Os12g41640,qCDP17,1
LOC_Os12g41600,qCDP17,1
LOC_Os12g41660,qCDP17,1
LOC_Os12g41620,qCDP17,1
LOC_Os12g41670,qCDP17,5
LOC_Os12g41490,qCDP17,2
LOC_Os12g41720,qCDP17,1
LOC_Os12g41380,qCDP17,1
LOC_Os02g15130,qCDP2,5
LOC_Os02g15160,qCDP2,1
LOC_Os02g15120,qCDP2,1
LOC_Os02g14980,qCDP2,2
LOC_Os02g14900,qCDP2,2
LOC_Os02g15110,qCDP2,1
LOC_Os02g14910,qCDP2,1
LOC_Os02g14890,qCDP2,2
LOC_Os02g14874,qCDP2,1
LOC_Os02g15020,qCDP2,1
LOC_Os02g15050,qCDP2,1
LOC_Os02g15100,qCDP2,1
LOC_Os02g14990,qCDP2,1
LOC_Os03g29340,qCDP4,1
LOC_Os03g29410,qCDP4,1
LOC_Os03g29360,qCDP4,1
LOC_Os03g29270,qCDP4,2
LOC_Os03g29250,qCDP4,1
LOC_Os03g29244,qCDP4,1
LOC_Os05g08850,qCDP5,1
LOC_Os05g08740,qCDP5,1
LOC_Os05g08800,qCDP5,5
LOC_Os05g08790,qCDP5,2
LOC_Os05g08830,qCDP5,1
LOC_Os05g08854,qCDP5,1
LOC_Os05g08900,qCDP5,2
LOC_Os05g08920,qCDP5,1
LOC_Os05g08890,qCDP5,2
LOC_Os05g08860,qCDP5,1
LOC_Os11g26620,qCDP14,1
LOC_Os11g26710,qCDP14,7
LOC_Os11g26830,qCDP14,7
LOC_Os11g26720,qCDP14,1
LOC_Os03g03650,qCDP3,1
LOC_Os03g03700,qCDP3,1
LOC_Os03g04070,qCDP3,1
LOC_Os03g03550,qCDP3,1
LOC_Os03g03540,qCDP3,1
LOC_Os03g03560,qCDP3,7
LOC_Os03g03630,qCDP3,1
LOC_Os03g03480,qCDP3,2
LOC_Os03g03490,qCDP3,1
LOC_Os03g03500,qCDP3,2
LOC_Os03g03570,qCDP3,1
LOC_Os03g03334,qCDP3,1
LOC_Os05g30430,qCDP6,7
LOC_Os05g30480,qCDP6,1
LOC_Os05g30320,qCDP6,1
LOC_Os05g30420,qCDP6,4
LOC_Os05g30580,qCDP6,1
LOC_Os05g30570,qCDP6,2
LOC_Os05g30280,qCDP6,8
LOC_Os05g30510,qCDP6,1
LOC_Os05g30500,qCDP6,1
LOC_Os05g30390,qCDP6,2
LOC_Os05g30300,qCDP6,2
LOC_Os05g30454,qCDP6,1
LOC_Os06g35410,qCDP7,1
LOC_Os06g35574,qCDP7,1
LOC_Os06g35490,qCDP7,4
LOC_Os06g35590,qCDP7,2
LOC_Os06g35670,qCDP7,5
LOC_Os06g35700,qCDP7,1
LOC_Os06g35740,qCDP7,1
LOC_Os06g35650,qCDP7,2
LOC_Os06g35630,qCDP7,2
LOC_Os06g35660,qCDP7,1
LOC_Os06g35560,qCDP7,1
LOC_Os06g35524,qCDP7,1
LOC_Os06g35470,qCDP7,1
LOC_Os06g35480,qCDP7,2
LOC_Os07g36740,qCDP8,2
LOC_Os07g36700,qCDP8,2
LOC_Os07g36690,qCDP8,1
LOC_Os07g36560,qCDP8,1
LOC_Os07g37210,qCDP8,1
LOC_Os07g36570,qCDP8,2
LOC_Os07g36460,qCDP8,3
LOC_Os07g37640,qCDP8,1
LOC_Os07g36630,qCDP8,5
LOC_Os07g36680,qCDP8,1
LOC_Os07g36544,qCDP8,1
LOC_Os08g43200,qCDP9,5
LOC_Os08g43290,qCDP9,1
LOC_Os08g43070,qCDP9,5
LOC_Os08g43080,qCDP9,5
LOC_Os08g43140,qCDP9,9
LOC_Os08g43150,qCDP9,8
LOC_Os08g43240,qCDP9,8
LOC_Os08g43250,qCDP9,1
LOC_Os08g43180,qCDP9,5
LOC_Os08g43310,qCDP9,4
LOC_Os08g43350,qCDP9,4
