IRIS code,IRGC code,3KRG entry name,3KRG subpopulation,Local grouping,Inference by K-Means with 2 components,Inference by K-Means with 3 components,fastStructure Inference,Inferred population
IRIS_313-10340,IRGC 117317,BR 4973-34-6-6::IRGC 117317-1::[IRIS 313-10340],indx,Indica,P1,P1,P1,P1
IRIS_313-10341,IRGC 117318,BR 5230-46-4::IRGC 117318-1::[IRIS 313-10341],indx,Indica,P1,P1,P1,P1
IRIS_313-10537,IRGC 6534,KALAMON 113::IRGC 6534-1::[IRIS 313-10537],admix,Intermediate type,P3,P3,P3,P3
IRIS_313-10539,IRGC 6586,BADAL 76::IRGC 6586-1::[IRIS 313-10539],ind2,Indica,P1,P1,P1,P1
IRIS_313-10587,IRGC 8361,DB 3::IRGC 8361-1::[IRIS 313-10587],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10592,IRGC 8482,DJ 69::IRGC 8482-1::[IRIS 313-10592],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10593,IRGC 8497,DJ 47::IRGC 8497-1::[IRIS 313-10593],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10595,IRGC 8593,DL 5::IRGC 8593-1::[IRIS 313-10595],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10598,IRGC 8667,DD 126::IRGC 8667-1::[IRIS 313-10598],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10600,IRGC 8742,UCP 41::IRGC 8742-1::[IRIS 313-10600],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10602,IRGC 8775,DM 49::IRGC 8775-1::[IRIS 313-10602],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10603,IRGC 8794,UCP 122::IRGC 8794-1::[IRIS 313-10603],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10604,IRGC 8806,DV 2::IRGC 8806-1::[IRIS 313-10604],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10605,IRGC 8840,DV 86::IRGC 8840-1::[IRIS 313-10605],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10606,IRGC 8855,DV 110::IRGC 8855-1::[IRIS 313-10606],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10963,IRGC 25880,KATAKCHIKON::IRGC 25880-1::[IRIS 313-10963],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10964,IRGC 25919,SADUMONI::IRGC 25919-1::[IRIS 313-10964],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10965,IRGC 25927,TILOKCHAN (SONABETHI)::IRGC 25927-1::[IRIS 313-10965],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10971,IRGC 26290,BADAL::IRGC 26290-2::[IRIS 313-10971],ind2,Indica,P1,P1,P1,P1
IRIS_313-10972,IRGC 26335,DUDA MONOR::IRGC 26335-2::[IRIS 313-10972],ind2,Indica,P1,P1,P1,P1
IRIS_313-10973,IRGC 26367,KALA DIGHA::IRGC 26367-2::[IRIS 313-10973],ind2,Indica,P1,P1,P1,P1
IRIS_313-10974,IRGC 26373,KAMRANGA::IRGC 26373-2::[IRIS 313-10974],ind2,Indica,P1,P1,P1,P1
IRIS_313-10975,IRGC 26384,KOLA MUCHI::IRGC 26384-2::[IRIS 313-10975],ind2,Indica,P1,P1,P1,P1
IRIS_313-10976,IRGC 26390,LAKHSMI DIGHA::IRGC 26390-2::[IRIS 313-10976],aus,Aus/boro,P2,P2,P2,P2
IRIS_313-10977,IRGC 26399,MATI CHAL::IRGC 26399-2::[IRIS 313-10977],ind2,Indica,P1,P1,P1,P1
