accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-10340,40.5,392.5,3.5,42.25,0.018481372,0.143348198,0.005188677,0.007748049,0.014425173,0.01360268,30.66666667,150.6666667,5.666666667,19,0.059591769,0.015818159,0.10474758,0.035579569,7.666666667,0.019820628,0.01898598,11.57142857,9.289940828,5.411764706,7.929824563,9.83333333,241.8333333,-2.166666667,23.25,6.159663865,1.360116265,-0.005395455,-0.0053833
IRIS_313-10341,128.6666667,1346.333333,5.5,49.5,0.025387826,0.077969776,0.005831512,0.005488976,0.020523715,0.027691507,100,630.6666667,7.583333333,36.83333333,0.064923295,0.007904951,0.148573064,0.03436,6,0.018702373,0.018449333,23.3939394,27.19865319,13.18681319,17.12217195,28.6666667,715.6666663,-2.083333333,12.66666667,10.20712621,10.07648124,0.001821342,0.009242174
IRIS_313-10537,75.66666667,799,6.5,61.16666667,0.041704203,0.075994055,0.005789197,0.005425492,0.020328027,0.02060804,72,500,7.416666667,49.66666667,0.118431242,0.015824353,0.11755229,0.02508513,5.666666667,0.014807861,0.013867973,11.64102564,13.0626703,9.707865168,10.06711409,3.66666667,299,-0.916666667,11.5,1.933160473,2.995556206,0.005520166,0.006740067
IRIS_313-10539,93.66666667,1044.333333,7.666666667,66,0.020398412,0.185154218,0.035209814,0.08483835,0.021776439,0.02391074,64,375,7,38.93333333,0.037907263,0.010377183,0.130470782,0.023898985,6.333333333,0.019188251,0.01929504,12.2173913,15.82323232,9.142857143,9.631849316,29.66666667,669.333333,0.666666667,27.06666667,3.074534161,6.191383002,0.002588188,0.0046157
IRIS_313-10587,98,930,9.5,48.125,0.020889016,0.04386845,0.003821587,0.0315589,0.021308739,0.02919203,69.66666667,344,9.083333333,36.5,0.061064257,0.009717135,0.138301664,0.043375094,7,0.008857823,0.008455047,10.31578947,19.32467532,7.669724771,9.424657534,28.33333333,586,0.416666667,11.625,2.646064702,9.90001779,0.012450916,0.020736983
IRIS_313-10592,123,983,11.33333333,49.83333333,0.017613458,0.002954032,0.00418769,0.037386969,0.019171008,0.018672207,82,297.6666667,8.916666667,36.16666667,0.049915413,0.01069976,0.171482653,0.031363491,8.333333333,0.00499646,0.005133493,10.85294118,19.72575251,9.196261682,8.230414747,41,685.3333333,2.416666663,13.66666666,1.656679498,11.49533776,0.014174548,0.013538714
IRIS_313-10593,118,1129.333333,6.333333333,59.33333333,0.027470666,0.072677444,0.005345765,0.008677072,0.018867585,0.019080247,128,634,7.583333333,44,0.068589683,0.014846667,0.123094101,0.030390086,5,0.021353517,0.02062622,18.63157895,19.03370786,16.87912088,14.40909091,-10,495.333333,-1.25,15.33333333,1.752458068,4.624616952,-0.002485932,-0.001545973
IRIS_313-10595,102.6666667,1193,6.666666667,46.66666667,0.031984192,0.114328626,0.004491164,0.005024464,0.022202568,0.0287648,35,210.3333333,7.916666667,34.16666667,0.08071505,0.009703125,0.187435846,0.022855083,7.666666667,0.012725334,0.01265631,15.4,25.56428571,4.421052631,6.156097559,67.6666667,982.6666667,-1.25,12.5,10.97894737,19.40818815,0.009477234,0.01610849
IRIS_313-10598,81,515,8,45,0.02257352,0.044797473,0.003661525,0.002983711,0.018068793,0.018816973,75.33333333,349.3333333,7.5,40.18333333,0.089605756,0.007436605,0.112182151,0.041663561,7.666666667,0.007437748,0.00747501,10.125,11.44444444,10.04444444,8.693488179,5.66666667,165.6666667,0.5,4.81666667,0.080555556,2.750956265,0.010631045,0.011341963
IRIS_313-10600,103.3333333,855.6666667,7.333333333,48.16666667,0.02306737,0.127090301,0.004744277,0.005488976,0.015842307,0.01541058,61,394,7.666666667,35.75,0.102631652,0.01597919,0.188527756,0.034299791,7.333333333,0.014579558,0.01151501,14.09090909,17.76470588,7.956521739,11.02097902,42.3333333,461.6666667,-0.333333334,12.41666667,6.134387348,6.743726861,0.001262749,0.00389557
