accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-10340,-0.265054994,-0.308005054,-1.807313959,-1.263397863,-0.705242117,-0.744605869,-2.863217138,1.28472511,-1.324142236,0.870836052,-2.0304884,1.013793578,-0.805910278,-0.100436179,-1.65070393,-1.988652901,-1.854903601,-2.082268922,-2.047370524,-0.269804686,0.71631427,-1.281587603,-1.180979809,0.512005412,-0.237210197,-2.144348891,-1.204117823,-2.875553033,0.622028062,-1.752945321,-0.587383209,0.556684085,2.097334869
IRIS_313-10341,2.323679618,0.038193232,1.808526588,-0.477818107,0.679823565,1.506080673,-1.215917535,0.865754812,-0.157898429,-0.48431533,1.136689753,0.875500199,2.232858579,-0.506484303,1.654722746,-0.105544284,-0.72143213,1.13609506,1.241063016,0.496123755,1.764262258,2.333577913,1.403063878,0.340271304,0.119925403,1.004299668,1.541903861,-0.721800348,-0.69000558,2.633721621,-0.539216852,-1.599403236,0.185476629
IRIS_313-10537,-0.241830557,1.421184648,-0.03655392,1.152830935,-0.300535053,-0.489924667,-0.581138075,-0.096701912,1.176108124,-0.755345617,0.325595522,-0.210817041,-0.098381857,-0.523227293,0.542894401,0.605241557,-0.82209984,0.700939316,-0.509254983,-0.520595414,-0.622289946,1.214740773,-0.667832871,-1.038512303,0.098422448,-0.162526499,1.44007995,1.387635487,-0.724299638,-0.745581735,0.437466375,0.558017048,-0.008381877
IRIS_313-10539,-0.053640907,-2.481211338,0.774086207,1.933080072,0.107731875,1.283682226,0.273136748,1.035869974,-0.947896697,-0.213285047,-0.370630037,1.099968154,-0.242245309,1.455059329,0.287455897,0.050217553,-1.071705317,0.315207016,0.080449964,0.536792521,-0.228941789,1.840664772,0.321018659,-1.285037298,1.950205226,-0.496181163,2.168615014,-0.430713581,1.421914274,0.17306608,1.425341666,-0.69827247,3.147320392
IRIS_313-10587,-0.701617122,-0.206078253,0.422275576,-0.640813601,0.355213519,0.928600904,1.575715525,-1.048521763,-0.859104634,0.328775509,-0.543294331,-1.014659493,-0.310739065,0.549613533,-0.453201324,1.746529675,0.212759863,2.72052358,0.213178791,0.482567498,-0.373464603,2.513831658,1.35816533,1.806897886,-1.215292321,-0.259801008,1.940951802,-0.76624799,-1.306625418,0.965931995,1.281728906,-0.904760015,0.012208269
IRIS_313-10592,-0.510893796,-1.112457937,0.589073552,-0.43731798,1.403841978,1.358068629,2.73774998,-1.656102351,-1.517372806,1.412896581,-0.801375349,-1.690810577,-0.706050658,0.648666547,0.312402677,2.007620196,0.105920116,1.773117235,1.077419169,0.99770521,-0.721753826,0.61244334,1.747111939,-0.032000414,-0.925487229,0.254236629,0.831738873,-0.810225301,-2.276244183,1.05130599,2.430705966,-0.604987457,0.354596112
IRIS_313-10593,1.523804442,0.241944961,1.027894291,0.870097526,-0.125395527,0.539331834,-0.687299935,2.061406823,0.105031692,-1.297406201,1.202113383,1.53739638,1.336374298,-0.0065356,2.906212149,-1.090451748,-0.72143213,-0.82144666,0.932360988,-1.076401893,-0.687103755,0.758286262,-0.15780958,-0.161026093,-0.143835001,2.171048054,0.673361904,0.355094239,-0.781826331,0.903840083,0.057647293,0.349230412,0.642325829
IRIS_313-10595,0.84601788,0.752890512,1.227261103,-0.806505124,2.083568091,2.674790686,-0.474375559,-0.461565165,0.563528886,0.870836052,-1.298482528,-0.429425975,-1.417954257,-0.638028886,-2.130694718,1.278538145,-0.518500852,2.117549625,0.353781802,2.082205658,1.945980262,2.462837928,3.10131292,-1.520293439,-0.700095433,-1.815230802,2.36759327,-1.064432173,-0.011603861,2.28784129,0.057647293,-0.909387612,0.157553135
IRIS_313-10598,-0.770706084,1.00526082,-1.265249947,-0.986812059,-0.470249963,-1.251551246,0.571720869,-1.2566504,-0.573588029,0.870836052,-0.513588574,-1.182672693,-0.552599621,-1.534291186,0.685631107,1.463187695,-0.77182889,1.461983394,-0.325934007,-0.439257881,-1.32356925,0.665293061,-0.744794963,1.672743219,-1.347638313,-0.023590286,0.266443925,-0.248103597,-1.288334855,-1.248295471,1.329601745,-1.812504758,-1.043264044
IRIS_313-10600,0.504949503,1.249797053,0.171261236,-0.6359708,2.210840667,0.375255246,-0.015186894,-0.139713428,-0.495275617,0.599805782,-0.264803729,-0.583272847,0.216832428,-0.506484303,-0.302587352,-0.222246788,-0.670905358,0.188215675,0.37370535,1.051930231,0.709165511,-0.704756509,0.485297246,0.332521176,-0.523067959,-0.62149142,-0.723310427,-0.864541528,0.260381273,0.629836606,0.848789155,0.591368613,0.143619866
