uid,accession_name,Treatment,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
1_1,IRGC 5809,Control,288,597,183,895,90,1101,7.5,57,0.023761616,0.127090301,0.004514528,0.009606094,,0.017036084,0.01623474
1_2,IRGC 5809,Control,280,609,214,898,118,2063,8.25,68,0.015772561,0.247863248,0.005012271,0.009373839,,0.020180726,0.01951522
1_3,IRGC 5809,Control,283,600,218,903,79,741,7,54,0.066005642,0.062058714,0.008674711,0.005890004,,0.012232104,0.01174832
1_4,IRGC 5809,Control,275,587,195,900,,,,,,,,,,,
1_5,IRGC 5809,Control,288,616,219,905,,,,,,,,,,,
2_1,IRGC 6046,Control,215,620,162,585,80,570,6.5,55,0.093760372,1.41025641,0.004136644,0.007748049,,0.019156572,0.0195031
2_2,IRGC 6046,Control,210,602,163,590,98,797,9.5,59.5,,,,,,0.020224836,0.01992124
2_3,IRGC 6046,Control,205,585,182,586,91,780,7.5,60,0.014030866,0.168896321,0.002961049,0.062058714,,0.015849926,0.01506112
2_4,IRGC 6046,Control,214,592,162,584,,,,,,,,,,,
2_5,IRGC 6046,Control,210,571,165,590,,,,,,,,,,,
3_1,IRGC 6534,Control,255,550,188,710,58,622,7.5,53,,,,,,0.022112744,0.02198972
3_2,IRGC 6534,Control,285,540,200,715,57,652,6,63.5,0.028341473,0.094574508,0.004429449,0.007515793,,0.023405568,0.02538938
3_3,IRGC 6534,Control,288,512,179,708,112,1123,6,67,0.055066932,0.057413601,0.007148945,0.003335191,,0.015465768,0.01444502
3_4,IRGC 6534,Control,280,524,206,713,,,,,,,,,,,
3_5,IRGC 6534,Control,251,520,183,708,,,,,,,,,,,
4_1,IRGC 6586,Control,277,581,184,897,77,1103,8.5,73,0.021498506,0.159606094,0.067423879,0.159606094,,0.017870966,0.01723464
4_2,IRGC 6586,Control,302,633,214,894,108,1063,6.5,68,,,,,,0.022908328,0.02676904
4_3,IRGC 6586,Control,284,597,202,894,96,967,8,57,0.019298318,0.210702341,0.002995749,0.010070606,,0.024550022,0.02772854
4_4,IRGC 6586,Control,287,621,180,893,,,,,,,,,,,
4_5,IRGC 6586,Control,282,609,182,899,,,,,,,,,,,
5_1,IRGC 6588,Control,246,596,148,687,88,844,7,61.5,0.032058994,0.154960981,0.003901675,0.002596618,,0.018331314,0.01764268
5_2,IRGC 6588,Control,255,599,191,684,233,1876,7.5,67,,,,,,0.022218608,0.02244826
5_3,IRGC 6588,Control,271,592,192,683,136,1550,8.75,66.25,0.026402257,0.099219621,0.004939617,0.008444816,,0.022883466,0.02344614
5_4,IRGC 6588,Control,251,578,175,689,,,,,,,,,,,
5_5,IRGC 6588,Control,253,561,182,685,,,,,,,,,,,
6_1,IRGC 8341,Control,230,628,172,732,72,775,7,53.75,0.020199506,0.002025269,0.004702872,0.010999628,,0.018120388,0.01766894
6_2,IRGC 8341,Control,198,679,165,727,98,515,5.5,57,0.033065051,0.080639168,0.008932783,0.003102936,,0.018813316,0.01830322
6_3,IRGC 8341,Control,210,701,174,728,113,839,9,47.5,0.021498506,0.131735414,0.003410292,0.010999628,,0.02232367,0.0227856
6_4,IRGC 8341,Control,199,718,175,736,,,,,,,,,,,
6_5,IRGC 8341,Control,210,663,163,733,,,,,,,,,,,
7_1,IRGC 8361,Control,319,563,187,1011,68,738,9,46.25,0.022561325,0.002025269,0.002476249,0.082125604,,0.025285456,0.04145848
7_2,IRGC 8361,Control,322,608,197,1014,128,1122,10,50,0.02615057,0.127090301,0.006204364,0.001086957,,,
