Serial no.,Accession No.,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight
1,IRGC 5809,288,597,183,895
1,IRGC 5809,280,609,214,898
1,IRGC 5809,283,600,218,903
1,IRGC 5809,275,587,195,900
1,IRGC 5809,288,616,219,905
2,IRGC 6046,215,620,162,585
2,IRGC 6046,210,602,163,590
2,IRGC 6046,205,585,182,586
2,IRGC 6046,214,592,162,584
2,IRGC 6046,210,571,165,590
3,IRGC 6534,255,550,188,710
3,IRGC 6534,285,540,200,715
3,IRGC 6534,288,512,179,708
3,IRGC 6534,280,524,206,713
3,IRGC 6534,251,520,183,708
4,IRGC 6586,277,581,184,897
4,IRGC 6586,302,633,214,894
4,IRGC 6586,284,597,202,894
4,IRGC 6586,287,621,180,893
4,IRGC 6586,282,609,182,899
5,IRGC 6588,246,596,148,687
5,IRGC 6588,255,599,191,684
5,IRGC 6588,271,592,192,683
5,IRGC 6588,251,578,175,689
5,IRGC 6588,253,561,182,685
6,IRGC 8341,230,628,172,732
6,IRGC 8341,198,679,165,727
6,IRGC 8341,210,701,174,728
6,IRGC 8341,199,718,175,736
6,IRGC 8341,210,663,163,733
7,IRGC 8361,319,563,187,1011
7,IRGC 8361,322,608,197,1014
7,IRGC 8361,330,559,205,1017
7,IRGC 8361,318,541,210,1008
7,IRGC 8361,311,590,298,1012
8,IRGC 8482,305,649,216,1078
8,IRGC 8482,317,606,202,1087
8,IRGC 8482,310,595,207,1085
8,IRGC 8482,308,602,235,1081
8,IRGC 8482,301,594,197,1086
9,IRGC 8497,214,595,187,777
9,IRGC 8497,214,562,191,781
9,IRGC 8497,265,576,177,779
9,IRGC 8497,269,563,190,779
9,IRGC 8497,255,555,169,776
10,IRGC 8593,270,633,197,853
10,IRGC 8593,262,623,189,845
10,IRGC 8593,270,608,177,846
10,IRGC 8593,247,631,200,846
10,IRGC 8593,263,586,180,847
11,IRGC 8667,271,587,165,792
11,IRGC 8667,284,591,200,785
11,IRGC 8667,264,561,165,786
11,IRGC 8667,306,547,171,786
11,IRGC 8667,269,616,192,792
12,IRGC 8742,228,612,184,634
12,IRGC 8742,224,649,180,640
12,IRGC 8742,209,635,169,636
12,IRGC 8742,220,627,168,635
12,IRGC 8742,221,572,171,639
13,IRGC 8775,282,528,198,734
13,IRGC 8775,281,544,185,738
13,IRGC 8775,276,544,172,732
13,IRGC 8775,242,528,171,736
13,IRGC 8775,290,548,200,732
