accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 77306,Stress,48,348,6.5,43.5,6.125124461,1.426978818,0.004129037,0.001021925,7,0.019955364,0.01953744
IRGC 77299,Stress,48,187,5.5,36,1.9863923,0.475659606,0.01010054,0.001400332,9,0.00538944,0.00603374
IRGC 31745,Stress,108,720,12.5,45,1.488549618,0.444692184,0.130618198,0.035107278,5,0.017686506,0.0173821
IRGC 26335,Stress,70,365,7.5,44.5,0.91022237,0.361699492,0.003655633,0.00083612,7,0.014959706,0.01463288
IRGC 25845,Stress,55,371,9,38.5,0.882564443,0.007246377,0.115207837,0.026350461,4,0.017873372,0.01271186
IRGC 38426,Control,56,753,7.5,62.5,0.7898851,0.002025269,0.002983319,0.002596618,,0.015733636,0.01471368
IRGC 76237,Stress,109,698,9,48.25,0.786384003,0.025966184,0.098544605,0.032337895,5,0.018848604,0.0179376
IRGC 43872,Stress,66,221,8.5,46.5,0.676374599,0.011117305,0.146879247,0.028677002,9,0.00443506,0.00499546
IRGC 58736,Stress,91,781,12.75,54.75,0.55820611,0.006224452,0.141707363,0.024420024,4,0.014236302,0.00827998
IRGC 38145,Stress,63,393,11,49,0.264769333,0.038833148,0.12602253,0.023826699,8,0.009827708,0.00891022
IRGC 49257,Stress,110,752,8.5,50,0.248174577,0.043478261,0.141104235,0.033772706,5,0.019671456,0.0189577
IRGC 38390,Control,115,887,6.5,58.5,0.230833057,2.339279078,0.002696648,0.154960981,,0.018774018,0.01820626
IRGC 25880,Stress,49,295,6,41,0.198390309,0.024897808,0.142639471,0.01418871,8,0.00805208,0.01194426
IRGC 37149,Stress,82,544,13,45.5,0.190092931,0.034188034,0.176015046,0.025888765,7,0.020243282,0.01996366
IRGC 34709,Stress,130,971,9.5,50,0.190092931,0.034188034,0.156427411,0.025328092,3,0.01966103,0.01866682
IRGC 76237,Control,158,1245,8.5,63.5,0.188587549,1.54960981,0.00524256,0.007980305,,0.015553988,0.01484094
IRGC 6534,Stress,56,363,6,47.5,0.173498175,0.015607581,0.135784151,0.022843028,8,0.009227812,0.00877892
IRGC 27547,Control,40,396,6.5,44,0.165200797,0.029542921,0.016544972,0.001012635,,0.014986974,0.01463086
IRGC 37550,Stress,39,723,8.75,44,0.165200797,0.024897808,0.176172072,0.022056796,5,0.017016034,0.01783862
IRGC 26367,Stress,75,515,7.75,43.6,0.165200797,0.024897808,0.154386547,0.041372476,4,0.016122606,0.01522878
IRGC 29009,Stress,60,345,9.5,41,0.16142549,0.05657748,0.165325257,0.051715595,6,0.020321878,0.03075652
IRGC 26624,Stress,,,,,0.156903419,0.024897808,0.17756389,0.024011663,,,
IRGC 37346,Stress,61,240,7,37,0.156903419,0.020252694,0.131064,0.024619101,8,0.00667264,0.00647814
IRGC 26624,Stress,,,,,0.156903419,0.015607581,0.262529041,0.0393534,,,
IRGC 53483,Stress,20,40,3.5,19.5,0.156903419,0.015607581,0.229339529,0.031921219,9,0.00062957,0.00077568
IRGC 8667,Stress,70,301,7,41,0.153027358,0.012183469,0.066699274,0.046222952,9,0.003632258,0.00396324
IRGC 49375,Stress,109,463,7.5,33.5,0.148979423,0.02173913,0.13326511,0.031896445,6,0.02158984,0.02132918
IRGC 29260,Control,,,,,0.14860604,0.029542921,0.014709407,0.00287068,,,
IRGC 8742,Stress,70,360,8,30.75,0.14860604,0.024897808,0.229652985,0.027664231,7,0.01299641,0.00806182
IRGC 53484,Stress,80,617,9.5,42.5,0.14860604,0.015607581,0.206500996,0.019509476,7,0.017408212,0.01789518
IRGC 6046,Stress,65,366,10.5,47,0.144830733,0.0287068,0.121884116,0.030217685,7,0.01570717,0.01500456
IRGC 26638,Stress,101,390,10.75,45.5,0.140682044,0.0287068,0.150864771,0.029646146,6,0.021833648,0.02242402
IRGC 29260,Control,35,654,7,62,0.140308662,0.029542921,0.009052044,0.001477146,,0.016874882,0.0177053
IRGC 53484,Stress,75,360,9.5,36.5,0.140308662,0.015607581,0.177686814,0.028765294,8,0.00034887,0.00085244
IRGC 37793,Stress,,,,,0.140308662,0.015607581,0.126503102,0.024011663,,,
IRGC 31841,Stress,143,766,11,42.5,0.137045027,0.024278459,0.140034211,0.029442872,3,0.019050708,0.01776186
IRGC 38130,Stress,76,534,9.5,44,0.136533355,0.01477146,0.153027358,0.022296544,7,0.022007682,0.02255128
IRGC 29009,Stress,9,28,4,21,0.132384666,0.024061687,0.131098573,0.03639206,9,,
IRGC 43872,Stress,80,342,10,43,0.132384666,0.02173913,0.224350396,0.025053644,8,0.013552998,0.0198869
IRGC 77216,Stress,139,819,12.5,46.5,0.128235977,0.0287068,0.095874865,0.037041033,5,0.019426846,0.01869308
IRGC 8855,Stress,22,33,2.5,8,0.124087288,0.01477146,0.165014106,0.025315868,9,0.00109072,0.00133118
IRGC 58736,Stress,114,493,11.5,53,0.119938599,0.019416574,0.120462843,0.037611342,5,0.019497422,0.01868298
IRGC 27568,Stress,86,641,11.5,42,0.119938599,0.017094017,0.128235977,0.037997027,3,0.015083214,0.01387336
IRGC 8794,Stress,114,562,10,43,0.118680164,0.022234609,0.129853966,0.050963529,7,0.01615228,0.01540856
IRGC 8593,Stress,55,377,8.75,37,0.115416528,0.010962467,0.231729174,0.016202155,6,0.019237574,0.01900214
IRGC 49242,Stress,75,481,11,46.5,0.111641221,0.031029357,0.105150409,0.01508958,6,0.01693824,0.0159479
IRGC 26744,Stress,33,175,7,41.5,0.111641221,0.026384244,0.1844658,0.038765582,8,,
IRGC 43915,Stress,43,297,6,30.5,0.110382786,0.014492754,0.420102632,0.045450647,7,0.01259942,0.0123826
IRGC 53479,Stress,104,649,10,42,0.1093871,0.011117305,0.122007533,0.021650267,6,0.016285412,0.01567924
IRGC 77292,Stress,29,308,7.5,38.5,0.107616993,0.026879723,0.150864771,0.044097609,5,0.013077412,0.007676
IRGC 77292,Stress,42,209,7,33,0.107492532,0.010126347,0.139898822,0.013287839,8,0.008357642,0.0089284
IRGC 29333,Stress,43,190,8.75,30,0.103343843,0.017094017,0.151296762,0.032807772,,,
IRGC 77293,Stress,124,704,6.5,37.5,0.103343843,0.01477146,0.122848608,0.027499071,3,0.01634476,0.01567722
IRGC 25927,Stress,,,,,0.103343843,0.010126347,0.119021278,0.026735208,6,0.019086798,0.01894356
IRGC 8341,Stress,87,605,12.5,44,0.102085408,0.012944383,0.132260206,0.028985507,7,0.017651218,0.01644482
IRGC 34749,Stress,79,391,9.5,38,0.099319615,0.020686238,0.07213533,0.032980305,5,0.013512898,0.00805778
IRGC 37967,Control,40,816,5,51,0.099195154,0.052768488,0.019083969,0.017094017,,0.018263144,0.01745684
IRGC 77279,Stress,82,472,10,44,0.099195154,0.037997027,0.165268684,0.052194183,6,0.014366226,0.00869004
IRGC 38426,Stress,,,,,0.099195154,0.019416574,0.119938599,0.040319584,7,0.017372122,0.0164327
IRGC 64778,Stress,2,5,2,3,0.099195154,0.019416574,0.084686787,0.032126203,9,,
IRGC 6534,Stress,62,339,8,48.5,0.099195154,0.01477146,0.130752849,0.020748173,6,0.016442604,0.01538432
IRGC 29260,Stress,45,256,9.5,42,0.099195154,0.012448904,0.188587549,0.02893242,8,0.00646412,0.00651046
IRGC 66815,Stress,77,397,12,40,0.099195154,0.010126347,0.137072685,0.038116473,6,0.022546626,0.0230482
IRGC 58824,Stress,68,310,8.5,40,0.096553822,0.02378298,0.144830733,0.0287068,7,0.010816574,0.01054642
IRGC 25855,Stress,52,281,10.5,37,0.096553822,0.012944383,0.190092931,0.01477146,7,0.010696274,0.01029998
IRGC 8497,Stress,130,650,7.75,44,0.095233156,0.020159792,0.133346895,0.028050491,6,0.017719388,0.01284114
IRGC 77299,Stress,3,10,4,3,0.095046465,0.024061687,0.181040886,0.032560033,9,,
IRGC 29221,Stress,29,65,6.75,25.5,0.095046465,0.010126347,0.15260793,0.022725324,9,0.002167004,0.00244218
IRGC 77216,Stress,82,587,10.25,45,0.09378803,0.016041125,0.196129273,0.013703084,7,0.023934888,0.0259267
IRGC 37346,Stress,18,51,2.5,24,0.09378803,0.016041125,0.130031767,0.040611562,9,0.000522102,0.00069488
IRGC 38456,Stress,53,578,10,54,0.09378803,0.012944383,0.139221269,0.023991603,6,0.015817846,0.01527928
IRGC 26624,Stress,,,,,0.09378803,0.011396011,0.011396011,0.0068438,,,
IRGC 77258,Stress,58,294,10.5,41,0.09378803,0.00984764,0.129140392,0.030397622,8,0.01105557,0.01155238
IRGC 6046,Control,80,570,6.5,55,0.093760372,1.41025641,0.004136644,0.007748049,,0.019156572,0.0195031
IRGC 29072,Stress,2,5,5,3.5,0.093158812,0.017837235,0.165520838,0.054042576,9,,
IRGC 29068,Stress,46,150,7.75,37.5,0.091022237,0.011396011,0.165465777,0.037041033,9,0.003879274,0.00416524
IRGC 26399,Stress,93,553,7.75,47,0.090897776,0.0287068,0.133346895,0.043034727,7,0.019146146,0.01835978
IRGC 6588,Stress,123,747,13.5,49,0.090897776,0.02173913,0.118724657,0.029728725,5,0.01945652,0.01829716
IRGC 77285,Stress,,,,,0.090897776,0.01477146,0.137383395,0.044197759,9,0.004049298,0.00464196
IRGC 53483,Stress,74,475,7,35.5,0.090897776,0.00780379,0.152799408,0.029442872,7,0.017909462,0.01721444
IRGC 29146,Stress,46,337,9,33,0.090897776,0.00780379,0.149406336,0.028050491,,,
IRGC 39559,Stress,53,279,6.5,38.5,0.089010123,0.012030844,0.11578991,0.026384244,7,0.006908428,0.00716292
IRGC 49375,Stress,46,399,7.75,34,0.088256444,0.020686238,0.173498175,0.024897808,6,0.01843397,0.0182204
IRGC 37086,Stress,72,446,11,47,0.088256444,0.020686238,0.104208922,0.040188832,7,0.015165018,0.01451168
IRGC 8341,Stress,13,103,5.5,29,0.088256444,0.014492754,0.152088697,0.023501763,9,0.004257818,0.00432886
IRGC 32817,Stress,89,464,9.5,43,0.088256444,0.014492754,0.082600398,0.037997027,7,0.018842188,0.01856986
IRGC 49242,Stress,76,450,9.5,42,0.088256444,0.012944383,0.078451709,0.044964697,6,0.020176716,0.01971116
IRGC 25855,Stress,75,412,8.5,45,0.088256444,0.008299269,0.126080635,0.038399604,6,0.014440812,0.01372186
IRGC 6046,Stress,15,100,6,30,0.086935778,0.024804905,0.09678187,0.037441366,7,0.004180826,0.00067266
IRGC 32816,Stress,89,581,9.5,47,0.086935778,0.015514679,0.159918133,0.025888765,3,0.019234366,0.01825272
IRGC 29283,Stress,40,181,5.5,39,0.086749087,0.024061687,0.165591959,0.033975686,9,0.001498136,0.00171094
IRGC 29009,Stress,72,157,6,32.5,0.086749087,0.02173913,0.209204558,0.020810108,8,0.004119874,0.00443592
IRGC 38130,Control,76,705,8,54.5,0.086749087,0.020252694,0.027306671,0.103864734,,0.017994474,0.01719828
IRGC 38416,Stress,116,845,8.5,49,0.086749087,0.01477146,0.150864771,0.033775135,4,0.0181653,0.01731342
IRGC 6588,Stress,98,482,10,46.5,0.086749087,0.01477146,0.137791791,0.032082249,9,0.013589088,0.01395416
IRGC 77292,Stress,29,89,4.75,27.75,0.086749087,0.012448904,0.212294344,0.024420024,9,0.00111879,0.00120392
IRGC 82168,Stress,14,49,2.5,15,0.086749087,0.012448904,0.11207387,0.027737963,,,
IRGC 27594,Control,58,447,10.5,39,0.085490652,0.075994054,0.010350979,0.000506317,,0.018210212,0.02140594
IRGC 26578,Stress,43,310,10.5,44,0.085490652,0.020686238,0.064120294,0.031896445,8,0.016724106,0.01642664
IRGC 38251,Stress,,,,,0.085490652,0.017589496,0.130321797,0.046174403,,,
IRGC 26478,Stress,93,422,9,40.5,0.085490652,0.012944383,0.144830733,0.037997027,7,0.014674194,0.01454198
IRGC 49242,Stress,112,580,10,45.5,0.085490652,0.012944383,0.074978125,0.048872223,6,0.020195964,0.0199071
IRGC 37550,Stress,101,505,9.5,41,0.085490652,0.00984764,0.10278377,0.019509476,7,0.015075996,0.01467328
IRGC 29432,Stress,56,133,7.5,27,0.084861434,0.018998514,0.161535784,0.043867997,9,0.002932914,0.00337138
IRGC 38416,Stress,24,160,4.5,46.5,0.084861434,0.018998514,0.14415926,0.031586771,9,0.004939518,0.0051712
IRGC 38293,Stress,37,130,6.75,30.25,0.082787089,0.010869565,0.120349697,0.034542752,9,0.002792564,0.00301788
IRGC 31812,Stress,105,637,9.5,42.5,0.082724859,0.022234609,0.139551527,0.032980305,6,0.020273758,0.02030302
IRGC 37346,Stress,77,382,10,39.5,0.082724859,0.011396011,0.183194253,0.031055901,5,0.014905972,0.00932028
IRGC 8742,Stress,63,550,8,40,0.082724859,0.00984764,0.201781862,0.041689892,6,0.016162706,0.0149682
IRGC 26290,Stress,51,770,9,56.5,0.082724859,0.008299269,0.181795553,0.01477146,4,0.018332918,0.01723868
IRGC 53529,Stress,57,320,6.75,42.5,0.082600398,0.02173913,0.077214424,0.004557676,8,0.012937062,0.01249976
IRGC 8806,Stress,56,208,7,37.5,0.082600398,0.017094017,0.13126452,0.021924935,9,0.004127894,0.00459348
IRGC 6534,Stress,98,798,8.25,53,0.082600398,0.017094017,0.086119869,0.031664189,3,0.018753166,0.01744068
IRGC 29416,Stress,59,351,9.5,47.5,0.082600398,0.012448904,0.248346907,0.01915216,8,0.009819688,0.0097263
IRGC 27567,Stress,48,176,7.5,35.5,0.082144042,0.010508279,0.11043257,0.037606838,9,0.000800396,0.00095748
