accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-10340,76.22108608,741.7524529,5.54917489,49.93817429,0.032275796,0.130891147,0.007752287,0.025369184,0.017527293,0.017539236,63.86009608,340.8971264,7.790452337,32.77355424,0.10362396,0.027540943,0.120118334,0.031421863,6.814943083,0.016707007,0.0166878,13.80552331,15.20383157,8.206347795,9.6348609,16.67255819,422.391132,-1.812498249,11.48147153,5.170103829,5.469460576,0.001573579,0.001557214
IRIS_313-10341,101.6631725,1011.12034,6.134471445,51.54468282,0.032246506,0.113155722,0.007755607,0.025321162,0.01777073,0.018592458,82.13344156,518.9068916,8.027476901,39.3826226,0.103764849,0.027525046,0.123321195,0.031645247,6.443429805,0.016639644,0.016640675,15.80764776,18.37512506,10.11534542,12.7589986,16.67804119,441.1261506,-1.693931025,11.41360715,5.286015678,5.587867338,0.002051221,0.003153848
IRIS_313-10537,82.67563518,865.7844707,7.353186452,58.77222598,0.032348458,0.079670247,0.007814814,0.025586107,0.017513102,0.018543594,75.62067467,530.8700188,8.595900599,47.20920139,0.092932505,0.017178456,0.124785587,0.032088758,6.061481888,0.015923172,0.015309241,11.17436843,14.64717935,8.777745959,11.02196869,16.21650396,373.4561423,-1.318575667,11.33199316,2.897536335,5.002673367,0.002867867,0.004319018
IRIS_313-10539,101.4904339,1018.816257,7.522526794,60.85172013,0.032133074,0.170097446,0.007812163,0.025523091,0.017948011,0.018448816,78.8300503,476.4549312,8.425872827,43.63892814,0.100968149,0.024381718,0.121106024,0.030824164,6.102767337,0.017575359,0.017581232,13.65715334,16.83171499,9.396968101,10.86638348,16.7199665,450.4640712,-1.257027881,11.51859525,4.499446818,5.515225416,0.001835819,0.002351499
IRIS_313-10587,94.97973552,841.5447137,8.165689616,47.73640814,0.030760774,0.088462053,0.007775396,0.025535838,0.017094117,0.017943119,70.89538121,356.7287091,8.512739621,36.52121594,0.091432131,0.013789112,0.13802889,0.032525907,6.96382938,0.011595188,0.011208235,11.67927674,16.62916425,8.289675866,9.647861717,16.4266281,387.1349039,-0.631310179,10.97882804,3.262306738,5.296698619,0.005057372,0.006704542
IRIS_313-10592,100.411419,824.7046699,8.698604004,48.38345565,0.030712906,0.069675758,0.007774139,0.02556219,0.016938038,0.017216463,74.16740004,342.9632776,8.678712242,36.39187458,0.090568702,0.01326641,0.139492409,0.032508498,7.248930576,0.010728577,0.010279544,11.58435799,16.24235861,8.44254357,9.340677744,16.4235045,381.3527512,-0.53649818,10.96729066,3.172585802,5.245301569,0.004974203,0.005877504
IRIS_313-10593,101.0398724,852.2844683,7.41557894,52.46674407,0.030816254,0.099392123,0.007786277,0.025580517,0.016774032,0.016649183,85.18571335,475.037555,8.233488862,40.92615609,0.090312102,0.01411976,0.130122559,0.032978339,6.307483567,0.014783449,0.014491383,13.07304768,15.58961328,10.18585905,11.17633884,16.37740222,364.5260572,-0.881103327,10.97701723,3.262989837,5.061668877,0.003176905,0.003445535
IRIS_313-10595,100.3690986,892.9438983,8.017383885,48.84110041,0.030730499,0.097665111,0.007776309,0.02553177,0.017132934,0.017983105,70.2178992,343.8636281,8.612718177,36.72039277,0.090662191,0.013386728,0.139966128,0.032431684,7.006925932,0.012350621,0.011973729,12.28345139,17.11079508,8.109639884,9.264037337,16.45253251,392.0916899,-0.732741476,10.9805544,3.594111421,5.321888063,0.004796716,0.006385576
IRIS_313-10598,82.38204749,685.0546388,7.60405013,47.5293921,0.030670488,0.086397099,0.007784086,0.025533808,0.016794109,0.016812303,73.88881714,385.4027952,8.292561487,39.30030775,0.09154404,0.013595849,0.138463281,0.032833952,6.944634205,0.011556192,0.011185039,11.07126267,14.50337763,8.843973819,9.68017542,16.30987736,351.9865516,-0.824412773,10.90409876,2.739304754,5.073766623,0.004438508,0.00497039
IRIS_313-10600,82.49107666,714.3256791,7.320573738,45.7589299,0.030900981,0.123464583,0.007777611,0.025452415,0.01661263,0.016456839,62.86894317,331.5791281,7.962179003,34.53185474,0.093033941,0.014515304,0.143420008,0.032632211,7.159377812,0.011737344,0.010864817,11.15303356,15.13218859,7.970523792,9.397926928,16.39022229,370.0696378,-0.718360834,10.98587817,3.125526377,5.208854155,0.004291871,0.004886526
IRIS_313-10602,73.49712677,641.3944855,6.776133775,46.71115317,NA,NA,NA,NA,0.016936712,0.017188698,62.99923079,318.2040787,7.763084939,35.35527876,NA,NA,NA,NA,7.086954176,0.010745645,0.010125736,11.03576633,14.09425645,8.052218664,8.657850636,16.35874266,355.7117143,-0.89007418,10.96394205,3.113630125,5.094302461,0.004790962,0.005850899
IRIS_313-10603,104.0598705,796.1692779,8.85114301,51.40137452,0.030647465,0.089345374,0.007775678,0.025647027,0.016934146,0.016854881,83.48332419,433.3112819,9.566539704,39.89959477,0.09004566,0.01371683,0.1357207,0.03285125,6.623212112,0.014741358,0.014797991,11.80498544,15.25484351,8.60203178,10.69765999,16.38711158,356.5599753,-1.069385013,10.93125901,3.276869419,5.021298925,0.003152413,0.003099695
IRIS_313-10604,83.66708905,744.3125548,7.516094116,47.25106897,0.030864819,0.137326297,0.007778662,0.025500204,0.016822913,0.016959817,67.18317744,364.1840019,8.266524227,37.13171803,0.0923492,0.014262246,0.135000702,0.032090362,6.809971416,0.012198738,0.011895837,11.21592343,15.35711499,8.151172395,9.702402439,16.37937641,370.9704324,-0.802328854,10.96434402,3.097875074,5.20043257,0.004433564,0.005089189
IRIS_313-10605,100.8687237,744.814432,7.480160141,50.60014429,0.030968469,0.076223179,0.007793809,0.025643014,0.016660332,0.016386755,74.54879252,369.5937195,8.0209507,39.01342461,0.089315517,0.014401195,0.12299155,0.033036545,6.614412293,0.013403178,0.012685584,13.16818233,14.67490684,9.360592115,9.452800937,16.45863179,357.1799263,-0.79119703,10.97492431,3.726236739,5.015684588,0.003143463,0.003519937
IRIS_313-10606,77.90374911,690.8829798,7.206920754,45.52181105,0.030928037,0.135678835,0.007780731,0.025483334,0.016635092,0.016496396,61.05167761,298.4785826,7.689747242,31.8047065,0.092559124,0.014187543,0.142116398,0.032539843,7.168791106,0.010503447,0.010055981,10.90591721,14.86855327,8.056056847,8.960090893,16.37122016,368.6750138,-0.624255332,11.00201279,2.987610766,5.192603672,0.004739583,0.005236643
IRIS_313-10963,95.0646582,844.1171316,7.650528027,49.82137551,0.030866614,0.127305986,0.007775611,0.025508499,0.016762996,0.016651556,65.18254414,374.7050829,8.099017841,37.37430745,0.092434477,0.01446771,0.137536038,0.032253766,6.923631679,0.012753223,0.012818039,11.9359761,15.92812441,8.099052579,9.807400914,16.44763249,381.2782811,-0.703818889,11.01019942,3.483962038,5.222697684,0.003979231,0.004168054
IRIS_313-10964,91.61561788,699.2459077,7.348769983,48.80979778,0.030729875,0.12115097,0.007785573,0.025697106,0.016564282,0.016102452,71.66101917,433.0125376,8.579294139,40.50918163,0.090217962,0.014274695,0.125496043,0.03329498,6.475725205,0.01461374,0.014008143,12.22005897,14.25232133,8.430101327,10.50128308,16.39611968,339.3821277,-1.200793226,10.89813942,3.603372847,4.926038879,0.002612337,0.002620195
IRIS_313-10965,76.5799308,728.8556004,7.291976059,45.95909748,0.031099096,0.145563317,0.007780482,0.025448545,0.01653428,0.016311988,68.71508141,361.2457228,8.092582761,35.06950992,0.092757165,0.01408606,0.144935218,0.03241432,6.889449314,0.012156838,0.01205146,10.79405964,15.30273355,8.420944633,9.922905867,16.33036117,369.0032116,-0.842660733,10.99282206,2.829657749,5.204638085,0.003962825,0.004188882
IRIS_313-10971,109.7385456,1035.579393,7.145056262,59.47224688,0.032231648,0.122110055,0.007773294,0.025386938,0.017751264,0.017919058,79.85178447,549.4925829,8.603318215,47.48610183,0.100832872,0.023624679,0.128669332,0.031148036,6.353757172,0.01648847,0.016361106,14.76971685,17.05037843,9.299694473,11.33332546,16.74808576,443.3798846,-1.538895876,11.43999313,5.076062011,5.520003693,0.001959853,0.002192877
IRIS_313-10972,111.195237,964.9988704,7.463230672,56.87769959,0.032411634,0.169970154,0.007775138,0.025421844,0.017563387,0.017548733,83.45604795,479.8814339,8.725519659,46.36078415,0.102568438,0.027246318,0.115345078,0.031281469,5.945612609,0.016158385,0.015798779,14.25263304,16.72205074,9.489551474,10.3515447,16.71510295,440.6190892,-1.463698325,11.40681009,4.718412795,5.540920999,0.001782338,0.001966747
IRIS_313-10973,105.2218577,1054.174393,7.73069886,58.39149267,0.032094098,0.122023293,0.007775019,0.025441136,0.017685168,0.017658094,81.45451762,597.9131984,8.896914552,46.97255245,0.099897417,0.022378359,0.124130728,0.031809246,5.40328315,0.016897873,0.016639448,13.5304302,17.35701656,9.187873572,12.44045439,16.70186676,440.1583301,-1.388799814,11.41131789,4.443541349,5.475792772,0.001615789,0.001636499
IRIS_313-10974,103.2970149,894.1607575,7.189873715,57.33434066,0.032339046,0.1152487,0.007757728,0.025450086,0.017573,0.017596846,79.96523095,505.0647447,8.483293999,45.67719042,0.101839747,0.025071433,0.122841797,0.031621118,6.006134978,0.015435424,0.014779859,14.20353973,15.95887842,9.48519902,10.97148773,16.72529324,427.7781246,-1.462783539,11.42501156,4.781095366,5.443705843,0.001987907,0.002417394
IRIS_313-10975,90.03366478,918.9284649,7.3634466,57.46246104,0.032430358,0.150566161,0.007817028,0.025399416,0.017703323,0.017787616,82.80647501,484.4753958,8.662216061,45.65108979,0.10144141,0.024265519,0.120908215,0.031672102,6.274979737,0.01507513,0.014758421,12.97965557,16.21815396,9.546170807,10.618096,16.63912484,435.7864778,-1.48924875,11.44729446,4.135137485,5.496234538,0.0021851,0.00246676
IRIS_313-10976,90.659598,761.3456491,7.425490332,50.25810568,0.030687792,0.121340959,0.007793049,0.025616339,0.016670582,0.016288084,75.18890211,457.9988994,8.709091138,40.2555007,0.090644622,0.014179203,0.129098439,0.033090589,6.124348314,0.014897193,0.014000677,12.09757845,14.83314386,8.677495837,11.20733909,16.38391906,348.1201789,-1.202881637,10.92342199,3.435957076,4.959464342,0.002621014,0.002749589
IRIS_313-10977,94.36023494,976.6694938,7.445449155,58.31626772,0.032062172,0.145350537,0.007784375,0.025392443,0.017679085,0.01769504,81.98121982,532.114775,8.604951052,46.23910598,0.099894048,0.022680946,0.117875889,0.032368856,6.109492597,0.016790416,0.016434712,12.97888683,16.58924399,9.534913709,11.33905004,16.64126956,435.5478305,-1.32588556,11.41388655,4.034548525,5.46266008,0.001715883,0.001887344
IRIS_313-10978,136.6675549,1089.358984,7.65708153,60.31268858,0.0320867,0.139711264,0.007754913,0.025361516,0.017905454,0.018237971,85.40292662,550.1073643,8.775113731,46.61211379,0.100109365,0.023241429,0.12223895,0.031884118,6.774833567,0.016430306,0.016292667,16.12664843,17.50481164,9.637174091,11.63584059,16.84750156,448.1378784,-1.436502532,11.45620322,5.579755378,5.520107159,0.002337432,0.002698582
IRIS_313-10979,101.1348105,878.7088999,8.392124632,54.11533503,0.030795431,0.133350213,0.007827766,0.025572959,0.016872683,0.016521489,86.22773589,500.9562612,9.33538304,43.40043809,0.090668264,0.015010462,0.119909089,0.035040029,5.986682506,0.015207507,0.013953914,12.50967823,15.90839778,9.182447084,11.44793705,16.44951211,375.0210074,-1.186593069,11.07506698,3.562341993,5.023520524,0.001915053,0.00239513
IRIS_313-10980,103.3069479,943.3483818,7.224971471,54.0476828,0.031374136,0.106938893,0.007784955,0.025509406,0.017118142,0.016780783,84.57762337,492.2779565,9.121147513,43.03694216,0.097958599,0.021806082,0.123605011,0.033161601,6.536486759,0.015386549,0.014884641,14.00142287,16.78601956,9.200592254,11.32677157,16.58036925,408.6387505,-1.729083118,11.23191037,4.545660309,5.307973426,0.001814446,0.001859137
IRIS_313-10981,102.4470058,902.7658031,8.072287645,55.7007137,0.030633958,0.136083623,0.007822431,0.025512738,0.016846177,0.016499341,86.33833685,504.6267989,9.339147293,43.20311541,0.090169928,0.014644338,0.120679409,0.035418858,6.104180538,0.015573599,0.014587801,12.76626987,15.90279769,9.156570731,11.47042936,16.44599853,376.4664704,-1.298111243,11.09110495,3.674644921,5.014792157,0.001870544,0.002231278
IRIS_313-10982,104.1804952,1021.976324,7.475487242,60.76430821,0.032191045,0.149646696,0.007765662,0.025424548,0.017842277,0.018039813,82.72928167,494.8540425,8.595659928,47.37853147,0.100906862,0.023743228,0.118088044,0.031412587,6.28562944,0.016817975,0.016979803,13.95930016,16.76144306,9.639398879,10.56572378,16.72268015,449.1023575,-1.360586956,11.46603296,4.56377769,5.520705567,0.001880197,0.001976942
IRIS_313-10983,95.32645065,853.1328299,7.070012321,56.14111634,0.032874224,0.141815702,0.007748378,0.02538357,0.017578517,0.017466672,78.34351689,450.9616186,9.267659437,44.15403524,0.100885522,0.023840931,0.1189567,0.032571251,6.51080804,0.01547666,0.015027454,13.75301702,15.67582073,8.608307862,10.26677021,16.7039367,428.9100355,-2.038258143,11.45550769,5.025506522,5.461924822,0.002041966,0.002227593
IRIS_313-10985,NA,NA,NA,NA,0.03257122,0.142526943,0.007745475,0.025400993,NA,NA,NA,NA,NA,NA,0.103718528,0.027136105,0.127665311,0.03113372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
