accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Height_WO_husk,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-10340,0.267292054,-0.014707314,-0.421223243,-0.42563325,-0.239019133,0.128097538,-0.733868096,-1.274045447,0.543356651,0.005845261,0.185003937,-0.719929662,0.579742699,-0.252659157,0.005386028,-0.373293739,-0.212453125,-0.551563702,-0.289075659,-0.603601795,0.006234052,0.331243327,0.09299894,0.06228648,-0.156181355,-0.003822622,-0.578219437,0.101059161,-1.016107976,0.176014953,-0.167039659,-0.306764547,0.281266588,0.05079866
IRIS_313-10341,0.702106114,0.015617057,0.656574619,-0.189130126,-0.139825774,0.216291569,0.262411304,-0.778041644,0.470216515,0.024174386,-0.121398026,0.486600014,0.558373577,0.8028435,0.003841082,0.564474801,-0.120253031,-0.419497073,-0.030360309,0.293613199,0.006430179,0.347832329,0.276745222,0.09871311,-0.108335754,-0.002815398,0.243168937,0.199520027,-0.266534071,0.127621787,0.680633366,-0.220328324,0.027696065,0.036830287
IRIS_313-10537,-0.449584869,0.180831037,0.137649394,0.952299886,-0.08287867,-0.109038848,0.836544957,0.057177103,0.393703567,0.097053564,-0.434154811,0.553556347,0.268563756,0.200273349,-0.006038689,0.11158136,0.015043735,-0.066286659,0.2086924,-0.315394863,-0.012045898,-0.317874829,0.315960293,-0.075900278,-0.16547196,0.001077548,-0.020901131,0.140941247,0.971393368,-0.372785412,-0.281122545,0.086507515,0.204523578,0.01841644
IRIS_313-10539,0.291401079,-0.46503331,0.686531121,1.32336487,-0.208337513,0.25779139,0.602093234,0.180778686,0.690164037,-0.009491803,-0.403578559,0.238496358,0.785814745,0.167263084,0.008569908,0.322793401,-0.158393598,-0.175052267,-0.144561789,0.328809532,0.008153796,0.154282256,0.300546974,0.080502599,-0.567133728,-2.58E-04,0.123695965,0.259901161,0.361372499,0.246042759,0.342303463,0.139772345,-0.037720709,0.060701027
IRIS_313-10587,-0.315311354,0.102133265,0.040491648,-0.637282142,0.35149689,-0.038377137,2.074184341,0.628058351,-0.593753284,-0.087191851,0.298591049,-0.476660807,-0.600249715,-0.246201535,-0.007631184,-0.214692704,0.341781151,-0.122859968,0.479190518,0.07641801,-0.003373583,-0.255881019,0.022697307,-0.002199664,0.114426154,3.01E-04,-0.231260096,-0.03109406,-0.742309115,-0.218806175,0.255983823,0.559585995,-0.457067823,-0.038991117
IRIS_313-10592,-0.330464321,0.004913223,-0.013616575,-0.550541044,0.390089959,-0.066223206,1.589316356,0.973192636,-0.742741097,-0.099688513,0.541519697,-0.574548034,-0.815443397,-0.356321441,-0.007863441,-0.115686822,0.325010478,-0.010953533,0.38344919,0.253161647,-0.003487315,-0.272991834,-0.084575132,-0.017097082,0.024865498,0.001197346,-0.090534659,-0.087698512,-0.755947218,-0.287876639,0.157653771,0.624431839,-0.411291925,-0.041161334
IRIS_313-10593,0.058403573,-0.004881169,0.073902045,0.083129702,0.095095651,-0.142486128,0.050639539,0.107493641,0.253200692,-0.052968845,-0.215160966,0.248191353,0.213811156,0.265452716,-0.006065821,0.639859494,0.071136689,-0.285692954,0.066932333,0.287148352,-0.005370449,-0.235458407,-0.173338194,-0.065623956,0.070598544,0.002762152,0.356258051,-0.1451874,-0.098395261,-0.175381875,-0.001770838,0.380415175,-0.094562482,-0.040511759
IRIS_313-10595,-0.123394832,0.065282255,0.235287511,-0.510563771,0.417487687,-0.019641419,0.968433042,0.511367338,-0.453907889,-0.081282693,0.338003749,-0.5502058,-0.459433185,-0.377925578,-0.008378178,-0.346801928,0.306221161,-0.048730436,0.435709401,0.259171719,-0.002310617,-0.164644623,0.031256559,9.20E-05,-0.073411794,0.001088603,-0.272071786,-0.01643333,-0.700246448,-0.225428062,0.377777984,0.482976038,-0.402157805,-0.039111564
IRIS_313-10598,-0.507662505,0.200547937,-0.58481188,-0.661025101,0.369167207,-0.20492835,-0.108768341,0.266313048,-0.583584861,-0.092254609,0.298104332,-0.324975022,-0.588997467,-0.250097698,-0.008845439,0.08587814,0.252690025,-0.257738419,0.267266036,-0.338627034,-0.008121929,-0.40222265,-0.143554677,-0.064604941,0.197407714,0.001667441,-0.125387453,-0.138764097,-0.344175424,-0.147412409,-0.336136441,0.426661643,-0.594844427,-0.052713769
IRIS_313-10600,-0.489754483,0.448362901,-0.433435716,-0.83575937,0.534543922,-0.110536257,-0.405517587,0.03081934,-0.606160197,-0.051058413,0.475229207,-0.680287416,-0.697998592,-0.348309214,-0.009427679,-0.38340226,0.236731973,-0.470167688,0.269458863,-0.361024716,-0.004868146,-0.296358236,-0.231432615,-0.023043164,0.071948229,2.40E-04,-0.568396992,-0.193755099,-0.987700591,-0.039715599,-0.140384133,0.514233385,-0.250076458,-0.037021178
