accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 77306,Stress,48.0,348.0,6.5,43.5,6.125124461,1.426978818,0.004129037,0.001021925,7.0,0.019955364,0.01953744,7.384615384615385,8.0
IRGC 77299,Stress,48.0,187.0,5.5,36.0,1.9863922999999999,0.475659606,0.01010054,0.001400332,9.0,0.00538944,0.00603374,8.727272727272727,5.194444444444445
IRGC 31745,Stress,108.0,720.0,12.5,45.0,1.4885496180000002,0.444692184,0.13061819800000002,0.035107278,5.0,0.017686506,0.0173821,8.64,16.0
IRGC 26335,Stress,70.0,365.0,7.5,44.5,0.91022237,0.361699492,0.0036556329999999997,0.00083612,7.0,0.014959706000000001,0.01463288,9.333333333333334,8.202247191011235
IRGC 25845,Stress,55.0,371.0,9.0,38.5,0.8825644429999999,0.007246376999999999,0.115207837,0.026350461000000002,4.0,0.017873372,0.01271186,6.111111111111111,9.636363636363637
IRGC 38426,Control,56.0,753.0,7.5,62.5,0.7898851,0.002025269,0.0029833190000000003,0.0025966179999999998,,0.015733636000000002,0.01471368,7.466666666666667,12.048
IRGC 76237,Stress,109.0,698.0,9.0,48.25,0.786384003,0.025966184,0.098544605,0.032337895,5.0,0.018848603999999998,0.017937599999999998,12.11111111111111,14.466321243523316
IRGC 43872,Stress,66.0,221.0,8.5,46.5,0.6763745990000001,0.011117305,0.146879247,0.028677002000000004,9.0,0.00443506,0.00499546,7.764705882352941,4.752688172043011
IRGC 58736,Stress,91.0,781.0,12.75,54.75,0.55820611,0.006224451999999999,0.141707363,0.024420024,4.0,0.014236302,0.00827998,7.137254901960785,14.264840182648403
IRGC 38145,Stress,63.0,393.0,11.0,49.0,0.264769333,0.038833148,0.12602253,0.023826699,8.0,0.009827708000000001,0.00891022,5.7272727272727275,8.020408163265307
IRGC 49257,Stress,110.0,752.0,8.5,50.0,0.24817457699999998,0.043478261,0.141104235,0.033772706,5.0,0.019671456,0.0189577,12.941176470588236,15.04
IRGC 38390,Control,115.0,887.0,6.5,58.5,0.23083305699999998,2.339279078,0.002696648,0.154960981,,0.018774018,0.01820626,17.692307692307693,15.162393162393162
IRGC 25880,Stress,49.0,295.0,6.0,41.0,0.198390309,0.024897807999999997,0.142639471,0.01418871,8.0,0.00805208,0.01194426,8.166666666666666,7.195121951219512
IRGC 37149,Stress,82.0,544.0,13.0,45.5,0.19009293100000002,0.034188034,0.176015046,0.025888765,7.0,0.020243281999999998,0.01996366,6.3076923076923075,11.956043956043956
IRGC 34709,Stress,130.0,971.0,9.5,50.0,0.19009293100000002,0.034188034,0.156427411,0.025328092000000003,3.0,0.01966103,0.01866682,13.68421052631579,19.42
