QTL,annotation,Locus_id,Seed-5 DAP,Seed- 10 DAP,Embryo- 25 DAP,Endosperm- 25 DAP,Endosperm- 25 DAP (replicate),Anther,Pistil,Pre-emergence inflorescence,Post-emergence inflorescence,Leaves-20 days,Leaves- 20 days (replicate),Shoots,Seedling four-leaf stage F1 93-11/Nipp,Seedling four-leaf stage F1 Nipp/93-11,Seedling four-leaf stage 93-11,Seedling four-leaf stage ,Germinating seed-3 days,Stem-60 days,Callus-35 days,60days-Mature roots,Mature leaves-60 days,Mature pollen,Immature panicle-90 days,Mature Sigma and Ovary,Salt Stress-Leaves-2wks,Salt Stress-Roots-2wks,Drought Stress-Leaves-2wks,Drought Stress-Roots-2wks,Cold Stress-Leaves-2wks,Cold Stress-Roots-2wks,M.oryzae infected-Resistant-6h,M.oryzae infected-Resistant-12h,M.oryzae-R-24h,Mock treatment-24hr,Untreated-leaves-2wks,Untreated-Roots-2wks,M.oryzae infected-Susceptible-6h,M.oryzae infected-Susceptible-12h,M.oryzae infected-Susceptible-24h,M.oryzae infected-Susceptible-96h,Rice leaf-beet armyworm damaged-24h,Rice leaf- Mechanical damaged-24h,Rice leaf-Water weevil damaged-24h,HighMilling-Developing seeds-6days,HighTaste-Developing seeds-6days,LowMilling-Developing seeds-6days,Control-Developing seeds-6days,LowTaste-Developing seeds-6days,start,stop,ori
qCDP1,"receptor kinase, putative, expressed",LOC_Os01g66040,0,0,0,0,0,0,0.949651,0,0,0,0.360173,0,0.322152,0.185104,0.292203,0.45754,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38324530,38325583,+
qCDP1,"PHD-finger domain containing protein, putative",LOC_Os01g66070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38344410,38344937,+
qCDP1,expressed protein,LOC_Os01g66060,0,0,0,0,1.37771,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38336217,38337612,-
qCDP1,"retrotransposon protein, putative, unclassified, expressed",LOC_Os01g66090,0,0,0,0,0,0.00103081,0,0,0,0,0,0,0.00173883,0,0.0119995,0,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38352142,38358147,-
qCDP1,"wound-responsive family protein, putative, expressed",LOC_Os01g66050,15.7951,7.5005,16.227,5.79779,5.66774,6.79485,24.8084,20.3169,13.7407,12.6493,14.2739,13.5425,16.6295,20.7317,14.0326,13.5347,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,38329179,38332595,+
qCDP1,"gibberellin 20 oxidase 2, putative, expressed",LOC_Os01g66100,6.78713,0.79368,2.56416,0,0,1.77543,19.499,12.9945,5.85429,15.0152,8.28048,2.22493,4.55338,5.35752,3.3935,5.25472,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38382382,38385504,+
qCDP1,"retrotransposon protein, putative, unclassified, expressed",LOC_Os01g66080,0,0,0,0,0,0.0337514,0,0,0,0,0,0,0.0186413,0,0.00565644,0.0721961,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38346711,38349796,+
qCDP1,"protein kinase family protein, putative, expressed",LOC_Os01g66020,0.305826,0,0,0,0,0.277186,1.69878,0.953015,0.752027,1.82604,4.38798,0,0.801803,0.374,0.692767,0.269322,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38319060,38321000,+
qCDP1,"OsMADS2 - MADS-box family gene with MIKCc type-box, expressed",LOC_Os01g66030,17.3629,1.7808,0.506656,1.47232,1.81919,274.877,129.899,45.0902,151.221,1.02854,1.14985,0,1.56655,0.971527,1.66442,0.753366,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38320785,38324074,-
qCDP1,"OsMADS2 - MADS-box family gene with MIKCc type-box, expressed",LOC_Os01g66030,17.3629,1.7808,0.506656,1.47232,1.81919,274.877,129.899,45.0902,151.221,1.02854,1.14985,0,1.56655,0.971527,1.66442,0.753366,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,38320785,38324074,-
