0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Strand
LOC_Os05g30410,chr04,93.994,333,20,0,1,333,33855052,33854720,9.159999999999998e-142,505,33854720,33855052,reverse
LOC_Os06g35574,chr03,85.76100000000001,927,88,31,1,898,31959677,31960588,0.0,941,31959677,31960588,forward
LOC_Os09g15350,chr05,98.819,2370,13,2,1,2370,17778572,17776218,0.0,4207,17776218,17778572,reverse
