MID,AA,Aa,aa,F statistic,p value,Trait,Frameshift,Effect,Site,Transcript,ID,QTL,Expression cluster,Functionally annotated,Outlier in expression,annotation,FDR adjusted p value
10352,56,6,101,28.362403801108094,2.8635747626800486e-11,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535779,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10107,56,5,102,27.79181789422205,4.3685293223584273e-11,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35490.1,7534673,qCDP7,4,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10341,56,5,102,26.92353290868356,8.343244215778247e-11,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535768,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10409,56,4,103,26.643939635421415,1.0287373982643164e-10,Filtered_Shoot_length,no,synonymous,exon,LOC_Os06g35560.1,7536276,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10323,63,5,95,26.588021095346022,1.07282039903586e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535678,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10351,56,5,102,25.769307200521983,1.98804487892536e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535778,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10312,56,5,102,25.60875974023405,2.2449339738745172e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535667,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10107,56,5,99,25.604620304963913,2.3761436899987324e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35490.1,7534673,qCDP7,4,No,No,"peroxidase precursor, putative, expressed",2.353222713984826e-06
10339,56,5,102,25.401268392848568,2.627435023448376e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535766,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
9969,55,4,104,25.37282856460077,2.6847750774254455e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35470.1,7534026,qCDP7,1,No,No,"L1P family of ribosomal proteins domain containing protein, expressed",2.353222713984826e-06
10352,56,7,97,25.300174992515842,2.9903245698353225e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535779,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10378,56,5,102,25.20683738783263,3.0456620942192425e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535805,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10379,56,5,102,25.20683738783263,3.0456620942192425e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535806,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10268,56,4,103,25.15517182522104,3.167728633361585e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535617,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10164,56,4,103,25.15481405455307,3.168590960186414e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35524.1,7535380,qCDP7,1,No,No,expressed protein,2.353222713984826e-06
10334,56,4,103,25.09034686053753,3.327920337816365e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35540.1,7535761,qCDP7,5,No,No,"aminotransferase, classes I and II, domain containing protein, expressed",2.353222713984826e-06
10626,127,8,38,24.874204337706644,3.3455730784634133e-10,Width_WO_husk,no,synonymous,intron,LOC_Os06g35670.2,7539310,qCDP7,5,No,No,expressed protein,2.353222713984826e-06
10589,127,8,38,24.874204337706644,3.3455730784634133e-10,Width_WO_husk,no,synonymous,intron,LOC_Os06g35670.1,7539310,qCDP7,5,No,No,expressed protein,2.353222713984826e-06
10293,56,5,99,25.00348464578101,3.74371516890512e-10,Filtered_Stress_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535642,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10390,54,7,102,24.840934119551765,4.024652751821952e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35560.1,7536257,qCDP7,1,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
10300,55,5,103,24.82922806870541,4.060765736009758e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535649,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10289,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35530.1,7535638,qCDP7,2,Yes,No,"CGMC_GSK.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",2.353222713984826e-06
10495,56,4,103,24.79051612490609,4.182544861395232e-10,Filtered_Shoot_length,no,synonymous,intron,LOC_Os06g35590.1,7537039,qCDP7,2,No,No,"reticuline oxidase-like protein precursor, putative, expressed",2.353222713984826e-06
